udpmlgcs,vwdimbusinesssegmentunit,BusinessSegmentName,HardCoded as Consumer,KB,,,Sundar,Ok,Davitt,,Ok,,,,Attribute,
udpmlgcs,vwdimbusinesssegmentunit,BusinessUnitName,"HardCoded as Advertiser, SaveDesk and Store respectively.",KB,,,Sundar,Ok,Davitt,,Ok,,,,Attribute,
udpmlgcs,vwdimbusinesssegmentunit,CSSLastUpdatedDateTime,Timestamp in UTC at which record is updated by ETL process in UDP,KB,,,Sundar,Ok,Davitt,,Ok,,,,Attribute,
udpmlgcs,vwdimbusinesssegmentunit,BusinessSubSegmentName,HardCoded as CAPS,KB,,,Sundar,Ok,Davitt,,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,,This table contains the ServiceRequest related data coming from caseRestrictedAttributes entity in Dynamics source related to Part C fields. Grain : ServiceRequestID,Arkes,Updated as per L3 comment,,Sundar,OK,Davitt,"Add the source and source table name.
If ServiceRequestKey is the surrogate key then it is not the grain. If not then it is fine. 
",Ok,,,,Entity,
udpmlgcs,vwDimServiceRequestEntityExtended,ServiceRequestKey,This is a surrogate Key generated for the combination of ServiceRequestID and DataSourceKey,Arkes,,,Sundar,Ok,Davitt,,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,ServiceRequestId,Direct mapping to ticketnumber column from incident entity coming from dynamics source,Arkes,,,Sundar,Ok,Davitt,,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,SRCreatedDateTime,Direct mapping to createdon column from incident entity coming from dynamics source,Arkes,,,Sundar,Ok,Davitt,,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,SRLastModifiedDateTime,Direct mapping to modifiedon column from incident entity coming from dynamics source,Arkes,,,Sundar,Ok,Davitt,,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,SRSource,"Derived attribute using msdfm_issuecontext column coming from caseRestrictedAttribures entity coming from dynamics source.
Logic: using split via new line we obtain Key-Value pair. Value corresponding to Key = ""Source"" is picked",Arkes,Updated as per L3 comment,,Sundar,Ok,Davitt,"Not a decode logic
You can replace: 
""Derived by applying decode logic....""  -->  ""Derived attribute using...... """,Ok,,,,Attribute,
